,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
0,658.2154,658.22815,657.98016,657.80963,657.8807,656.6006,657.0138,657.6631,660.3776,663.29297,665.6685,667.99304,670.5959,673.4676,676.83093,680.11224,682.2464,683.2176,683.92444,683.5583,683.65216,683.9648,682.8608,680.8899,678.86365,676.8631,675.3632,674.3284,673.80383,673.36743,673.10144,673.0491,673.2747,674.30383,676.00183,677.653,678.9911,679.82776,680.74896,682.2269,683.53357,684.6931,685.75903,686.58167,687.66547,688.70557,689.59094,690.34406,690.8169,690.88116,689.5093,688.8722,688.75104
1,657.3797,657.4868,657.4715,657.436,657.5225,656.1619,656.6871,657.6634,660.48474,664.03345,667.1757,669.8094,672.0394,674.584,677.85614,680.8545,682.8174,683.8762,684.70624,684.0128,683.7103,683.8053,682.06647,679.60016,677.2658,675.3032,673.8505,673.3435,672.95135,672.93005,672.83704,672.73834,673.267,675.4512,678.62897,681.1627,682.3058,682.975,683.14923,683.81647,684.28076,685.57275,686.21643,687.3876,688.2365,688.7952,689.6028,690.3856,690.8992,690.88116,690.08875,689.20294,689.043
2,657.192,657.1472,657.08057,657.00946,657.15466,656.0228,656.61145,657.987,660.7385,663.985,667.00806,669.5624,672.09216,674.89954,678.11975,680.9979,682.97534,684.2674,684.12775,683.9594,683.67487,683.3503,681.1749,678.1994,676.0273,674.37317,673.0522,672.7011,672.6014,672.52045,672.2824,672.4749,673.7935,676.6355,680.5797,683.3367,684.54553,685.36584,685.55304,685.69073,686.04614,686.8802,687.7664,688.2874,688.96326,689.37115,689.8193,690.4311,690.9945,691.13525,690.2648,689.51843,689.41345
3,656.97864,656.8922,656.67957,656.6815,656.369,655.6892,656.4341,658.3352,661.06354,664.35986,667.095,669.7974,672.57477,675.30475,678.3668,681.1952,683.2102,684.60376,684.1976,683.98065,684.25134,682.57135,679.8726,676.7923,674.7571,672.85315,672.3727,672.1716,672.1364,672.03094,672.1392,672.9922,674.96375,678.17255,682.127,684.72626,686.41943,687.1733,687.72217,688.1686,688.2753,688.94403,689.70233,690.02435,690.26495,690.4487,690.57605,690.9637,691.2821,691.4619,690.5945,689.81793,689.75964
4,656.43964,656.46136,656.3845,656.3635,655.62115,655.4853,656.68616,659.1533,662.45764,665.6523,668.2402,670.99493,673.80457,676.41595,679.1034,681.41705,683.2032,684.433,684.19934,683.95325,684.19385,681.55426,678.4075,675.46234,673.3559,671.8132,671.5881,671.72205,671.6159,671.49976,672.1281,673.95685,676.86694,680.2879,683.5061,685.64075,687.2707,688.4691,689.3199,690.1944,690.43304,691.0738,691.38446,691.4498,691.4144,691.43665,691.50867,691.69727,691.8752,691.79285,691.0708,690.40686,690.2564
5,655.47217,655.52014,655.85205,655.9935,655.2526,655.49084,657.26245,660.14716,663.6731,666.6032,669.2218,672.0109,674.6777,677.4474,679.9804,681.8313,683.3406,684.05676,684.0419,683.9215,683.5726,680.6553,677.14264,674.0752,672.1724,671.12646,671.069,671.2873,671.2602,671.3104,672.3804,675.0115,678.6221,682.0861,684.44824,686.2197,687.75586,689.23206,690.30554,691.27985,691.79517,692.2676,692.39026,692.3735,692.33484,692.3337,692.3158,692.3389,692.41974,692.203,691.55536,691.0439,690.78937
6,654.1867,654.21515,655.2738,655.79095,655.56635,656.0442,658.0299,661.06396,663.8903,666.49457,669.0117,671.8408,674.6255,677.74225,680.51575,682.44037,683.9713,684.03973,683.9567,684.0731,682.9502,679.89734,676.0008,672.7629,671.39984,670.7097,670.77264,670.8537,670.84985,671.2621,673.15515,676.2265,679.75824,683.0271,685.1608,686.86505,688.5372,689.7679,690.7922,691.68744,692.4631,692.77484,693.0432,693.2008,693.27594,693.26465,693.1086,692.9546,692.87616,692.74585,692.0815,691.5712,691.23395
7,653.3762,653.6767,655.39746,655.96106,656.14923,657.20245,659.2373,662.11456,664.023,666.1191,668.35236,671.0855,674.19727,677.5794,680.77545,683.06885,684.578,684.216,683.8962,684.2738,682.4932,679.1637,675.06586,671.8641,670.9161,670.50757,670.4055,670.3535,670.46234,671.8918,674.98047,677.9784,680.81415,683.6375,685.9692,687.7503,689.34894,690.2267,691.04285,691.9566,692.87506,693.31006,693.73804,694.025,694.10095,694.048,693.9486,693.67456,693.5155,693.4221,692.7886,692.20074,691.7504
8,653.89795,654.69745,656.23083,656.30383,656.21185,658.4007,661.0205,663.5448,665.3314,666.9982,669.15405,671.6225,674.5508,677.976,681.33295,683.5936,684.34283,683.88727,683.66455,684.0524,681.93396,678.50525,674.5745,671.36884,670.46124,670.05096,670.05206,669.84607,670.8646,674.3296,677.8078,680.12445,682.33813,684.6002,686.58636,688.35535,689.6206,690.3883,691.35156,692.33466,693.0515,693.7671,694.2686,694.58716,694.4973,694.5245,694.54877,694.36346,694.2993,694.1497,693.65607,693.07043,692.57434
9,654.6444,655.1218,656.0295,656.41547,656.6831,659.5982,662.5566,665.01044,667.265,669.8746,672.02765,674.2335,676.8477,679.96265,682.41473,683.8901,683.93463,683.53534,683.526,683.45825,681.003,677.65564,673.35175,670.63995,669.76184,669.69135,669.8046,670.0573,671.99286,676.1018,678.8243,681.1364,683.36566,685.24976,686.7999,688.317,689.725,690.75726,691.53467,692.52344,693.41266,694.192,694.6975,695.18036,695.182,695.28735,695.04926,694.95087,694.80096,694.6312,694.4193,693.742,693.3927
10,654.7635,655.1864,655.7726,656.7982,656.9049,660.5293,663.495,666.4062,669.00226,671.8909,674.60986,677.1562,679.3805,681.39636,682.8057,683.9285,683.59827,683.18054,683.84753,682.94037,680.19684,676.5299,672.8485,669.8904,669.47906,669.31433,669.1913,669.9783,673.58777,676.6801,679.0504,681.2683,683.56,685.29034,686.83417,688.34015,689.58246,690.6544,691.4479,692.6969,693.68134,694.5213,695.2646,695.66187,695.87006,695.83765,695.72656,695.6213,695.56573,695.3304,695.10406,694.7723,694.3539
11,654.76746,655.21265,655.496,657.1095,657.269,660.38196,664.3704,667.2824,670.1854,673.08356,675.71564,677.87836,679.706,681.37115,682.60504,683.6582,683.34894,682.99524,683.62335,682.2558,679.0288,675.7424,672.6214,669.5174,669.0965,668.8924,669.5094,670.93866,673.52515,676.0748,678.7117,681.1072,683.2311,684.83136,686.5249,687.8282,689.3179,690.5516,691.51385,692.80054,693.9501,694.7781,695.4795,695.93976,696.24146,696.44086,696.4038,696.2918,696.33057,696.23315,696.0199,695.6737,695.1877
12,654.6406,655.5804,655.92975,657.3606,657.6777,660.5252,664.7291,667.61725,670.4821,673.5052,675.8806,677.769,679.4081,680.9797,682.23126,682.92035,682.7998,682.6887,683.06036,681.4836,677.9741,674.9166,671.7089,668.9471,668.69415,668.5795,669.15967,671.00555,672.8724,675.48553,678.5369,680.96,682.94977,684.38544,685.9173,687.365,688.9138,690.0946,691.54987,692.8244,694.07697,694.9946,695.8122,696.34576,696.77545,696.9714,697.10406,697.07574,697.1704,697.2206,696.973,696.67426,696.335
13,654.2945,655.59106,656.6234,657.98486,658.0824,660.4726,664.6699,667.5508,670.36316,673.28723,675.449,677.27386,679.0945,680.78986,682.1918,682.56836,682.39215,682.8482,682.5363,680.4632,676.90045,673.6736,670.6067,668.70197,668.36786,668.3257,669.2135,670.669,672.80396,675.7483,678.7251,681.11237,682.9684,684.4543,685.90625,687.3232,688.75726,690.05115,691.5724,693.0058,694.177,695.17114,695.9906,696.6129,697.1909,697.478,697.67957,697.81555,697.9898,698.0811,697.9051,697.66925,697.38275
14,654.32074,655.6151,656.99304,658.29553,658.33307,659.91986,664.3722,667.21454,670.0714,672.9811,675.1791,677.1782,679.1278,680.88904,682.33563,682.4593,682.18713,682.9247,681.6082,678.87415,675.17926,672.2574,669.6212,668.38513,668.0047,667.90326,668.5543,670.9195,673.4782,676.64435,679.5852,681.9828,683.80444,685.3197,686.83636,688.0767,689.3899,690.6662,692.02484,693.42706,694.4337,695.4714,696.33527,696.92535,697.6208,698.02246,698.29004,698.5575,698.7369,698.84314,698.8972,698.6863,698.4492
15,654.5604,655.8246,657.1623,658.43787,658.5463,659.35443,663.9275,666.8318,669.8031,672.7809,675.2614,677.463,679.34894,681.00006,682.19226,682.18567,682.0084,682.38354,680.20404,676.7965,672.98584,670.70404,668.8352,667.88336,667.40356,667.2546,668.43494,671.7763,674.6237,677.70734,680.65796,683.26556,685.29395,686.9379,688.5187,689.6706,690.80786,691.7839,692.8132,694.0049,694.8154,695.7136,696.64276,697.1965,697.9085,698.44226,698.9121,699.2312,699.45667,699.62946,699.7656,699.6771,699.48126
16,654.6603,656.13916,657.2971,658.6166,658.83704,659.2284,663.7048,666.6516,669.6476,672.6426,675.338,677.62866,679.45905,681.0003,681.72675,681.6814,681.6966,681.375,678.5573,674.5973,671.1335,669.2878,668.0846,667.34656,666.6401,667.0928,669.37683,672.6258,675.6178,678.5392,681.492,684.2634,686.56537,688.4745,690.13916,691.3468,692.2665,692.9168,693.6134,694.56274,695.178,695.9027,696.7005,697.3417,697.98676,698.67285,699.34094,699.69684,700.0498,700.3515,700.432,700.502,700.2799
17,654.78314,656.4621,657.42377,658.7398,659.12695,659.4794,663.8486,666.7018,669.59644,672.50653,675.0935,677.50775,679.4778,681.0052,681.36206,681.2697,681.4309,680.3535,676.8642,672.7421,669.8886,668.30865,667.34717,666.7449,666.2954,667.72894,670.13574,673.05536,675.93195,678.795,681.82886,684.47253,686.84753,688.93915,690.73486,692.0517,692.96277,693.60724,694.2211,694.9441,695.4515,696.15674,696.7142,697.43823,698.0459,698.8258,699.4716,699.9408,700.38525,700.79297,700.9454,700.9837,700.7148
18,655.2751,656.6852,657.78424,659.02356,659.3387,659.8407,663.72144,666.74164,669.60516,672.32404,674.7534,677.4523,679.649,681.0442,681.33026,681.21277,681.5264,679.34796,675.2943,671.5125,668.5366,667.4527,667.0096,666.0288,666.87933,667.9579,670.71814,673.123,675.7239,678.26117,681.13214,683.80316,686.18164,688.3127,690.00366,691.4998,692.7588,693.7423,694.39056,695.06836,695.62616,696.13153,696.8353,697.41486,698.097,698.87164,699.4549,700.09375,700.6038,700.96893,701.09204,701.0004,700.6542
19,655.50555,656.73303,657.9864,659.21906,659.67865,659.95514,663.76025,666.9215,669.37085,672.2668,674.91547,677.3777,679.5741,681.1982,681.572,681.20306,680.92804,678.38086,674.113,670.0725,667.77966,667.22675,666.6886,666.24347,666.9801,668.926,670.95593,672.8648,675.0659,677.3519,679.99744,682.5549,684.698,686.4031,688.0634,689.70294,691.16437,692.7551,693.8995,694.79767,695.47437,696.2142,696.8376,697.2494,698.09424,698.7262,699.401,700.0884,700.5042,700.89246,701.03033,700.77734,699.77264
20,655.5039,656.7232,658.00665,659.44183,660.1053,660.4033,664.15015,666.80896,669.6218,672.44617,675.1775,677.76105,679.9541,681.1078,681.1856,681.30585,680.2087,677.06604,672.96643,669.4908,667.4822,667.0381,666.2589,665.89484,666.7545,668.98334,671.12964,672.6899,674.4748,676.3292,678.3234,680.0844,681.7875,682.69806,683.4154,684.9122,688.06274,691.8224,693.27673,694.5093,695.13727,695.9895,696.51,697.26465,697.9152,698.5472,699.183,699.8198,700.28424,700.6067,700.7885,700.1578,698.6959
21,655.53107,656.78186,658.0906,659.4747,660.43054,660.76294,664.3804,667.3157,670.3153,673.1988,675.8866,678.3671,680.4581,681.31244,681.1913,680.8457,678.86725,675.176,671.706,668.7981,667.1587,666.7766,666.17126,665.19055,666.5066,668.3839,670.49915,672.2152,673.82117,675.2737,676.82654,678.2539,679.55475,680.5316,681.33466,682.84247,686.60364,691.02606,693.0077,694.10156,694.90533,695.53723,696.2626,696.88367,697.5743,698.20636,698.8384,699.47046,699.98346,700.2882,700.49426,699.7412,697.94214
22,655.34595,656.8906,658.2124,660.0243,660.88556,661.2845,665.4899,668.4489,671.1929,674.1296,676.709,678.93665,680.7771,681.44025,680.98016,680.1389,677.43945,673.56995,670.5152,668.4157,666.8411,666.4369,665.60565,664.5073,666.3212,668.5607,670.759,672.3974,673.85236,675.3263,676.70294,677.923,679.2561,680.1424,681.0296,682.977,687.0256,691.62866,693.08936,693.4432,693.86597,694.94244,695.7655,696.53143,697.2867,697.94574,698.6212,699.2877,699.7322,699.8959,700.07825,699.6014,697.9109
23,655.0459,656.72833,658.3549,660.5769,661.3538,662.228,666.709,669.6581,672.2891,675.0466,677.56824,679.7503,681.02374,681.0555,681.0843,679.9725,676.83405,672.7943,669.6404,667.77295,666.34625,666.0116,665.14655,664.2591,666.0511,668.86707,670.8651,672.5704,674.4264,676.41315,678.04224,679.3593,680.59125,681.60974,683.1062,685.37335,688.2793,690.86615,692.1449,692.61237,693.1769,694.2264,695.1918,695.94135,696.718,697.45764,698.2099,698.7941,699.27264,699.4602,699.6306,699.40515,698.16
24,654.70166,656.6465,658.63885,661.00183,661.8449,662.9223,667.3879,670.5249,673.1884,675.9551,678.4556,680.4531,681.1649,680.7132,681.1078,679.9786,676.8352,672.7934,669.1868,667.1678,665.7981,665.4199,664.7942,664.22766,665.8107,668.9044,670.8392,672.64087,674.7384,677.0656,678.9467,680.5545,682.022,683.36005,685.02454,686.9284,688.5198,689.65436,690.7208,691.7734,692.82465,693.89514,694.76935,695.55853,696.28284,697.0542,697.8109,698.1255,698.54974,698.9033,699.1015,699.04755,698.13214
25,654.5733,656.92786,659.10284,661.4491,662.3706,663.29175,667.7564,671.08374,673.84546,676.72296,679.1673,680.8521,681.13214,680.5657,680.8282,679.6909,676.72455,672.8167,668.8099,666.45264,665.358,664.66846,664.2974,664.3631,665.71295,668.6534,670.75244,672.5548,674.59216,676.80334,678.72784,680.3977,682.13074,683.68585,685.07306,686.4343,687.6783,688.82605,689.88464,691.3633,692.77985,694.1051,694.8016,695.53986,696.16504,696.88043,697.4777,697.63275,697.8735,698.11896,698.3971,698.4729,697.52954
26,655.05084,657.47864,659.69324,662.14465,662.8763,663.6663,668.3159,671.60443,674.45496,677.33386,679.62683,680.9373,680.82465,680.54785,680.6077,679.18634,676.12195,672.194,668.09784,665.5622,664.8133,663.7918,663.83093,664.6207,665.7799,668.29474,670.38226,672.18744,674.2149,676.1855,678.05597,679.5629,681.1592,682.6718,683.98376,685.2779,686.8654,688.2563,689.91174,691.6555,693.22516,694.6018,695.3416,695.8482,696.356,696.8285,697.099,697.2791,697.312,697.27234,697.6607,697.74023,696.6993
27,656.2031,658.09985,660.41394,663.0757,663.3217,664.41113,669.2192,672.32733,675.0858,677.99536,680.07275,680.7487,680.278,680.78235,680.7092,678.7764,675.3427,671.19257,667.1465,664.8492,663.77405,663.1125,663.87256,664.7462,665.9742,667.9946,669.781,671.8005,673.8829,675.7974,677.5215,679.0337,680.54645,681.89325,683.2775,684.77136,686.5748,688.2235,690.33734,692.32916,693.9124,695.0932,695.8758,696.39233,696.7484,696.75977,696.6778,696.71295,696.56433,696.62933,697.0856,697.01447,696.2587
28,657.4175,658.8401,661.37854,663.6754,663.8144,666.4324,670.63727,673.50745,675.9963,678.6392,680.55743,680.76324,680.00696,680.78577,680.5924,678.38824,675.0694,670.87976,666.4533,663.60156,662.62866,663.5845,664.2372,664.9397,666.1323,667.66534,669.478,672.0459,674.37054,676.2099,677.5871,678.8349,680.29785,681.6259,683.23303,684.93695,686.8157,688.8912,690.9148,692.8415,694.2399,695.2374,695.6778,696.13275,696.30536,696.2328,696.05865,696.02057,695.95825,695.8099,696.2081,696.1315,695.8472
29,658.55115,659.8499,662.43335,664.0069,664.6261,667.78564,672.8165,675.2089,677.55286,679.4413,680.7432,680.8279,680.0001,680.47534,680.3275,678.20886,675.3962,671.3229,665.2978,662.6762,662.81616,663.7027,664.57745,665.1797,666.04645,667.30035,669.6036,671.8062,674.35876,676.51685,678.20306,679.8258,681.1625,682.2851,683.86,685.4303,687.6929,689.87634,691.7326,693.2065,694.35565,694.87933,695.27954,695.5458,695.58905,695.4477,695.2808,695.1302,695.1353,695.2192,695.232,695.09357,695.54016
30,659.0693,660.56244,663.6538,664.5286,665.76886,671.0388,674.71924,676.99414,678.68835,679.9597,680.48914,679.9832,680.40717,681.038,680.28345,678.04034,674.50336,670.5849,665.131,662.72314,663.12866,664.6801,664.961,665.3323,665.9991,667.3354,669.1243,671.2178,673.8031,676.2126,678.8086,681.17096,682.71765,683.98175,685.3168,686.7494,688.74475,690.4908,691.88324,693.1938,693.9248,694.4344,694.7944,694.9203,694.93085,694.72925,694.4867,694.4053,694.4946,694.5588,694.5375,694.6104,694.39746
31,659.99066,661.6995,664.36224,664.9226,666.91833,672.99426,676.21155,678.3519,679.6146,680.4146,680.44006,679.5898,680.3237,680.8873,679.8857,677.29974,672.9944,668.6782,663.8286,662.26215,663.38336,664.5786,665.0812,665.58417,666.2354,667.5507,668.7774,670.3958,672.7817,675.74866,679.1964,682.11224,684.34534,685.7694,686.8269,688.112,689.4959,690.84216,691.8491,692.67346,693.31537,693.7577,694.11176,694.1748,694.0961,693.9367,693.6825,693.6123,693.71436,693.7743,693.79926,693.71765,693.366
32,661.2881,663.1047,664.8784,665.59534,669.17865,674.0088,677.0891,678.9735,679.90875,680.2701,679.5859,679.7805,680.67755,680.5208,679.1923,676.0186,671.4431,667.1213,662.6915,662.0329,663.1215,664.16693,664.909,665.74146,666.5316,667.6281,668.74243,670.0454,672.2229,675.3579,678.9494,682.4899,685.17,686.89026,687.971,688.85175,689.9436,690.8496,691.5796,692.1153,692.6121,692.96423,693.27856,693.3795,693.2526,693.0904,692.90546,692.8077,692.8786,692.92926,692.9433,692.75653,692.27594
33,662.9363,664.6302,665.34406,667.354,671.35474,674.7249,677.5508,679.11975,679.85065,679.7632,679.0279,679.7787,680.6176,680.1733,678.55865,674.6867,670.0369,666.0322,662.0134,661.6761,662.4331,663.6367,664.5972,665.86,666.87726,667.8908,668.9497,670.1861,672.2303,675.2875,678.7768,682.2105,685.0319,686.8989,688.0252,688.81134,689.724,690.37555,691.00433,691.41925,691.9473,692.25397,692.4768,692.5337,692.4538,692.255,692.0525,692.02966,692.08234,692.10297,692.0313,691.7429,691.14197
34,664.68225,665.7069,666.1237,669.4861,672.8926,675.5992,677.9708,679.1979,679.64935,678.9571,679.0132,680.0009,680.2986,679.8627,677.9416,673.4496,668.6254,665.0542,661.6704,661.28723,661.87714,663.0145,664.2469,665.9135,667.00085,667.976,669.0245,670.30005,672.415,675.3126,678.71204,681.7674,684.2347,685.87195,687.02625,688.069,688.97974,689.6142,690.24316,690.65283,691.101,691.43976,691.6157,691.6633,691.63306,691.3871,691.1768,691.223,691.29694,691.27045,691.0642,690.71326,690.0444
35,665.96564,666.1599,667.54755,671.2903,674.08405,676.4888,678.34393,679.23157,679.1852,678.3966,679.1756,680.2178,680.0379,679.53656,677.442,672.7838,667.77295,664.2342,661.492,661.06757,661.5465,662.3698,663.8791,665.6516,666.5962,667.57623,668.6453,670.0421,672.43207,675.2817,678.4329,681.06415,682.86444,683.9515,685.0808,686.5114,687.83795,688.7699,689.40674,689.8537,690.1286,690.4608,690.6545,690.68,690.66437,690.4367,690.3426,690.3898,690.4568,690.35626,690.05066,689.5673,688.8122
36,666.47375,666.55707,669.36804,672.64355,675.0956,676.88513,678.2878,678.918,678.39996,678.45026,679.3681,679.8007,679.7175,679.22485,677.37463,673.1207,668.1622,664.1836,661.3353,660.6849,661.09863,661.78424,663.3864,665.03906,665.9244,666.9986,667.943,669.56464,672.1791,675.0735,677.7069,679.6036,680.83325,681.5286,682.6171,684.37836,686.31946,687.7341,688.4829,688.9833,689.2832,689.5072,689.7016,689.59863,689.57007,689.446,689.4943,689.5491,689.54846,689.37274,689.0356,688.3141,687.4383
37,666.84076,667.60815,670.66974,673.28906,675.57825,676.7254,677.66833,678.1864,677.76984,678.40784,679.57947,679.46606,679.3797,679.0164,677.63055,673.88776,669.20966,665.15607,661.1825,659.78815,660.5529,661.22955,662.57776,664.47345,665.6799,666.5763,667.37335,669.1223,671.6374,674.2316,676.3477,677.7582,678.515,679.4703,680.8755,682.7166,684.84955,686.3726,687.4662,688.12823,688.3879,688.59644,688.75104,688.72345,688.5941,688.51215,688.57153,688.6219,688.61163,688.4308,688.0056,687.33374,686.4251
38,668.3201,669.3415,670.95374,673.5776,675.77563,676.9447,677.134,677.5433,677.93787,678.69434,679.218,679.2495,679.14514,678.71063,677.512,674.574,670.1547,665.4414,661.49524,659.82086,660.08,660.5501,661.6266,663.5433,665.16223,665.7674,666.74036,668.38824,670.76013,672.9824,674.61926,675.9769,676.7284,677.5766,679.4316,681.4234,683.8734,685.4724,686.4881,687.0716,687.4918,687.68054,687.7662,687.73773,687.66376,687.66754,687.7132,687.7661,687.7118,687.42426,686.8662,686.15924,685.1205
39,669.9627,671.04266,672.58545,674.2962,675.917,676.9464,677.05396,677.5029,677.8335,679.02454,678.9217,678.92395,678.83923,678.3945,677.4306,675.0758,670.7345,665.76624,661.43396,660.06573,659.4576,660.30554,661.1595,662.5273,664.69745,665.65875,666.5374,667.9186,669.7645,671.8187,673.19714,674.27594,675.44806,676.8213,678.743,680.8411,683.1215,684.4375,685.4952,686.0925,686.57513,686.62164,686.7813,686.72784,686.58936,686.69666,686.78955,686.7358,686.6781,686.2962,685.52716,684.66345,683.66614
40,672.1882,673.7489,674.7343,675.48553,676.3365,677.19037,677.0504,677.5876,678.22125,678.7592,678.6568,678.5154,678.4849,678.11725,677.17194,675.06805,671.0994,666.2041,661.9036,659.7968,658.77435,659.84814,660.8722,662.2393,664.0967,665.2259,666.3788,667.8791,669.60443,671.1265,672.62036,674.1084,675.5255,677.11383,678.87115,680.87683,682.6822,683.5089,684.2889,685.0988,685.61554,685.75244,685.7143,685.6817,685.6789,685.86426,685.8458,685.7484,685.6071,685.16815,684.4017,683.4376,682.1471
41,674.188,675.51447,676.2521,676.86694,677.1965,677.7522,677.3011,677.526,678.45905,678.3373,678.3118,678.265,678.1992,677.88165,677.05054,674.8915,671.01294,666.4148,662.11237,659.46655,659.1328,659.88776,660.42993,662.1467,664.09894,665.15204,666.3628,667.665,669.3619,671.2457,673.167,674.85974,676.4399,677.8939,679.2362,680.57324,681.6955,682.50555,683.061,683.8968,684.41113,684.5072,684.4411,684.509,684.6165,684.8521,684.9404,684.8001,684.48724,683.93994,683.178,682.2451,680.9099
42,675.50354,676.62036,677.2414,677.704,677.86176,677.6318,677.4464,677.9616,678.48157,678.2461,678.1422,678.0365,677.94086,677.56396,676.8088,674.67737,670.86926,666.4848,662.0338,659.2261,659.0416,659.519,659.972,661.9297,663.8573,664.9732,666.2331,667.76074,669.8982,672.1858,674.2842,675.7618,676.94824,677.87146,678.6779,679.374,680.17456,681.07007,681.8495,682.75586,683.1543,683.26776,683.39667,683.48914,683.7161,683.9656,684.133,683.89264,683.29474,682.6619,681.92444,681.01166,679.6387
43,676.288,677.24365,677.7966,678.11365,678.2438,677.4017,677.446,678.3535,678.30426,678.10614,677.9325,677.73944,677.53687,677.15735,676.44836,674.5194,671.011,666.77155,661.98883,658.68445,658.56366,658.95734,659.574,661.6307,663.3446,664.65356,665.9856,667.88684,670.4024,672.655,674.4987,675.62775,676.40173,676.9056,677.39655,677.9856,678.6159,679.5907,680.6117,681.4888,682.00854,682.1759,682.3863,682.62744,682.9441,683.2416,683.3727,683.074,682.276,681.42334,680.6862,679.73737,678.30493
44,676.80066,677.5569,678.07214,678.3147,678.06433,677.3887,677.5893,678.3248,678.00287,677.81445,677.5917,677.37885,677.10077,676.6932,675.9443,674.2005,671.01514,666.9496,662.18646,658.6902,658.2136,658.6529,659.10535,661.1913,662.87067,664.31,665.6184,667.7399,670.25354,672.19336,673.61694,674.4801,674.95135,675.1613,675.5533,676.31696,677.1415,678.268,679.38983,680.2223,680.7981,681.1616,681.48663,681.9424,682.30524,682.6762,682.7376,682.3536,681.48236,680.3842,679.4373,678.35516,676.97284
45,677.03217,677.73517,678.17914,678.4294,677.5282,677.34656,678.0767,678.078,677.70557,677.48413,677.14435,676.86816,676.55096,676.09357,675.2361,673.49457,670.3828,666.54193,662.3002,659.2336,658.0598,658.37616,658.43,660.39844,662.4421,663.8175,665.10486,667.1748,669.33215,670.9451,672.0813,672.6761,672.9045,672.9659,673.336,674.1532,675.4702,676.8176,678.0405,679.0133,679.5054,680.283,680.85034,681.40045,681.8376,682.2171,682.19476,681.6534,680.7229,679.49524,678.23755,676.8941,675.6544
46,676.90094,677.7799,678.12646,678.3091,677.31177,677.1683,678.50446,677.87555,677.4535,677.0596,676.5465,676.0651,675.56647,675.2032,674.29956,672.39136,669.1875,665.50055,661.7325,658.9154,657.8131,657.66455,657.6488,659.39154,661.79333,663.06165,664.4691,666.12933,667.7649,669.0265,669.96625,670.2849,670.659,671.0593,671.5563,672.3317,673.65204,675.0903,676.4659,677.72906,678.60077,679.73663,680.3984,680.9733,681.5397,681.79706,681.56946,680.88245,679.85297,678.51794,677.18164,675.6193,674.36304
